'id_car_generation','id_car_model','name','year_begin','year_end','date_create','date_update','id_car_type'
'1','2123','2 generation','2013','2020','1403453052','1629665942','1'
'4','7','2 generation','2001','2003','1403637064','1568054401','1'
'5','7','1 generation','1997','2001','1403637064','1461884287','1'
'6','9','3 generation','1993','2001','1403637072','1586337762','1'
'7','9','2 generation','1989','1993','1403637072','1586337723','1'
'8','9','1 generation','1991','2002','1403637072','1586390460','1'
'9','10','2 generation','1990','1996','1403637075','1461884289','1'
'10','10','1 generation','1986','1990','1403637075','1461884290','1'
'11','11','3 generation','2013','2020','1403637079','1629662287','1'
'12','11','2 generation','2006','2009','1403637079','1568054401','1'
'13','11','1 generation','2001','2006','1403637079','1568054401','1'
'14','13','2 generation','2012','2020','1403637086','1629662290','1'
'15','13','1 generation','2006','2010','1403637086','1568054402','1'
'16','14','KB2','2008','2010','1403637090','1577311082','1'
'17','14','KA9','1999','2004','1403637090','1577311083','1'
'18','18','4 generation','2008','2011','1403637129','1568054402','1'
'19','18','3 generation','2003','2008','1403637129','1568054402','1'
'20','18','2 generation','1998','2003','1403637129','1568054402','1'
'21','18','1 generation','1995','1998','1403637129','1568054402','1'
'22','19','2 generation','2008','2010','1403637132','1568054402','1'
'23','19','1 generation','2003','2008','1403637132','1568054402','1'
'27','28','1 generation [restyling]','2003','2007','1403637189','1461877031','1'
'28','28','936','1998','2007','1403637189','1568054404','1'
'29','29','907','1990','1994','1403637192','1568054404','1'
'30','29','905','1983','1986','1403637193','1461877033','1'
'35','40','116','1977','1981','1403637463','1568054405','1'
'36','47','939','2006','2010','1403637573','1568054406','1'
'37','47','916','1995','2006','1403637573','1568054406','1'
'38','47','115','1990','1993','1403637573','1568054406','1'
'43','63','1 generation [restyling]','2008','2012','1403637672','1568054407','1'
'46','67','1 generation [restyling]','2013','2021','1403637687','1616320020','1'
'47','67','1 generation','2009','2012','1403637687','1568054408','1'
'48','69','2 generation','2012','2020','1403637695','1637310944','1'
'49','69','1 generation','2001','2007','1403637695','1568054408','1'
'52','74','2 generation','2011','2012','1403637969','1461877095','1'
'53','74','1 generation','2011','2012','1403637969','1568054408','1'
'54','78','8C/B4','1991','1996','1403638037','1568054409','1'
'55','78','8A/B3','1986','1991','1403638037','1568054409','1'
'56','78','B2','1978','1986','1403638037','1579480971','1'
'57','78','B1 [restyling]',NULL,NULL,'1403638037','1568054410','1'
'59','82','8V','2012','2016','1403638083','1579480982','1'
'61','82','8P','2003','2005','1403638083','1579480988','1'
'62','84','B8/8K [restyling]','2011','2016','1403638088','1568054413','1'
'63','84','B8/8K','2007','2011','1403638088','1568054413','1'
'64','84','B7','2004','2008','1403638088','1579480998','1'
'65','84','B6','2000','2005','1403638088','1579481000','1'
'66','84','B5 [restyling]','1997','2001','1403638089','1568054414','1'
'68','85','8T [restyling]','2011','2016','1403638091','1579481007','1'
'70','86','4F,C6','2006','2008','1403638093','1560774955','1'
'71','86','4B/C5','2000','2005','1403638093','1568054415','1'
'72','89','D4/4H [restyling]','2013','2018','1403638101','1568054418','1'
'73','89','D4/4H','2010','2014','1403638101','1579481028','1'
'74','89','D2/4D [restyling]','1999','2002','1403638101','1579481031','1'
'75','89','D2/4D','1994','1999','1403638101','1579481031','1'
'76','97','2 generation','2015','2020','1403638161','1639987614','1'
'77','97','1 generation [restyling]','2012','2015','1403638161','1568054420','1'
'78','101','B8','2012','2020','1403638171','1639987624','1'
'79','101','B7','2005','2008','1403638171','1579481051','1'
'80','101','B5','2000','2001','1403638171','1579481053','1'
'81','103','C7','2013','2014','1403638210','1579481057','1'
'82','103','C6','2008','2010','1403638210','1579481057','1'
'83','103','C5','2002','2004','1403638210','1579481058','1'
'86','107','8V','2013','2016','1403638238','1579481063','1'
'87','107','8P/8PA [restyling]','2008','2012','1403638238','1568054423','1'
'88','107','8L','1999','2001','1403638238','1579481067','1'
'89','109','8T [restyling]','2012','2016','1403638243','1568054424','1'
'90','109','8T','2008','2011','1403638243','1579481077','1'
'91','110','C7','2012','2014','1403638246','1579481080','1'
'92','110','C6','2006','2008','1403638246','1579481082','1'
'94','110','C5','1999','2004','1403638246','1579481083','1'
'95','112','D4 [restyling]','2013','2018','1403638323','1568054425','1'
'96','112','D4','2012','2013','1403638323','1579481087','1'
'97','112','D3','2005','2008','1403638323','1579481088','1'
'98','112','D2','1996','1999','1403638323','1579481089','1'
'99','114','8J','2006','2010','1403638330','1579481099','1'
'100','114','8J [restyling]','2010','2014','1403638330','1568054427','1'
'101','119','2 generation','1980','1982','1403638347','1461884493','1'
'102','119','1 generation','1969','1980','1403638347','1461884493','1'
'104','123','1 generation','1975','1978','1403638386','1461884524','1'
'105','123','2 generation','1972','1982','1403638386','1461884524','1'
'106','128','2 generation','2002','2009','1403638406','1568054428','1'
'107','128','1 generation','1998','2002','1403638406','1568054428','1'
'108','130','2 generation','2008','2011','1403638411','1568054428','1'
'109','130','1 generation','1994','1998','1403638411','1568054428','1'
'113','138','2 generation','1992','1995','1403638464','1461884534','1'
'114','138','1 generation','1989','1992','1403638464','1461884534','1'
'135','152','E84 [restyling]','2012','2015','1403638563','1568054432','1'
'136','152','E84','2009','2012','1403638563','1579481282','1'
'137','153','F25 [restyling]','2014','2017','1403638565','1579481284','1'
'138','153','F25','2010','2015','1403638565','1579481285','1'
'139','153','E83','2003','2006','1403638565','1579481286','1'
'140','155','F15','2013','2018','1403638627','1579481291','1'
'141','155','E70 [restyling]','2010','2013','1403638627','1568054433','1'
'142','155','E70','2006','2010','1403638627','1579481292','1'
'143','155','E53','1999','2003','1403638627','1579481293','1'
'144','156','F16','2014','2020','1403638630','1629662733','1'
'145','156','E71 [restyling]','2012','2015','1403638631','1568054434','1'
'146','156','E71/E72','2008','2012','1403638631','1579481296','1'
'148','159','E89','2009','2016','1403638640','1579481303','1'
'149','159','E85','2002','2005','1403638640','1579481304','1'
'174','173','1 generation [restyling]','2009','2020','1403638715','1639987902','1'
'175','173','1 generation','2005','2009','1403638715','1568054435','1'
'176','174','2 generation','2008','2010','1403638745','1568054435','1'
'178','177','3 generation','2000','2020','1403638756','1639987908','1'
'179','177','2 generation','1997','2000','1403638756','1568054436','1'
'180','177','Series 1','1993','1997','1403638756','1461884597','1'
'182','185','6 generation','1997','2005','1403638866','1568054436','1'
'183','185','5 generation','1982','1996','1403638866','1568054436','1'
'184','186','6 generation','1985','1990','1403638869','1461884601','1'
'185','186','5 generation','1977','1984','1403638869','1461884601','1'
'186','188','2 generation','2010','2016','1403638875','1568054436','1'
'187','188','1 generation','2004','2007','1403638875','1461884603','1'
'188','189','2 generation','2000','2011','1403638878','1568054436','1'
'189','189','1 generation','2000','2011','1403638878','1461884604','1'
'190','190','3 generation','2015','2020','1403638881','1461877148','1'
'191','190','1 generation','2007','2009','1403638881','1568054436','1'
'192','190','I (North America)','2004','2009','1403638881','1461877149','1'
'193','191','8 generation','1992','1999','1403638883','1568054436','1'
'194','191','7 generation','1992','1999','1403638883','1568054437','1'
'195','191','6 generation','1986','1991','1403638883','1568054437','1'
'197','193','3 generation','2007','2012','1403638891','1568054437','1'
'198','193','2 generation','1997','2005','1403638891','1568054437','1'
'199','193','1 generation','1991','1996','1403638891','1461877151','1'
'201','196','5 generation','2004','2008','1403638931','1568054437','1'
'202','196','4 generation','1997','2004','1403638931','1568054437','1'
'203','196','3 generation','1988','1996','1403638931','1568054437','1'
'204','198','8 generation','1995','1999','1403638938','1568054437','1'
'205','198','6 generation','1979','1985','1403638938','1461877151','1'
'206','198','3 generation','1971','1973','1403638938','1461877152','1'
'212','220','3 generation','2013','2020','1403639066','1639987943','1'
'213','220','2 generation','2007','2014','1403639066','1568054461','1'
'214','220','1 generation','2002','2007','1403639066','1568054461','1'
'215','221','11 generation','1999','2006','1403639069','1568054461','1'
'216','221','10 generation','1994','1999','1403639069','1568054461','1'
'219','223','Cadillac Eldorado XI','1992','2002','1403639076','1461503378','1'
'220','223','10 generation','1992','2002','1403639076','1461884706','1'
'221','223','9 generation','1986','1991','1403639076','1461884706','1'
'223','224','3 generation','2007','2014','1403640847','1568054462','1'
'224','224','4 generation','2014','2020','1403640847','1639987950','1'
'225','224','1 generation','1998','2001','1403640847','1568054462','1'
'226','225','2 generation','1993','1996','1403640856','1461877156','1'
'227','225','1 generation','1984','1992','1403640856','1461877156','1'
'228','227','5 generation','1997','2004','1403640863','1568054462','1'
'229','227','4 generation','1991','1997','1403640863','1568054462','1'
'230','227','3 generation','1986','1991','1403640863','1461884711','1'
'231','227','2 generation','1980','1985','1403640863','1461884711','1'
'232','227','1 generation','1975','1979','1403640863','1461884712','1'
'233','228','10 generation','1971','1976','1403640866','1461877156','1'
'234','229','2 generation [restyling]','2012','2017','1403640872','1568054462','1'
'235','229','2 generation','2010','2013','1403640872','1568054462','1'
'238','4','Mk VI','2013',NULL,'1403641563','1461884285','1'
'239','4','Mk V','1999','2007','1403641563','1461884285','1'
'240','4','1 generation','1990','2001','1403641563','1568054401','1'
'241','72','3 generation [restyling]','2008','2017','1403641566','1461877093','1'
'242','72','3 generation','2005','2008','1403641566','1461877093','1'
'243','72','2 generation','1993','1999','1403641566','1461877093','1'
'244','72','1 generation','1978','1989','1403641566','1461877093','1'
'245','76','44/44Q','1983','1991','1403641575','1568054409','1'
'246','76','1 generation (C2)','1979','1982','1403641575','1461884413','1'
'247','79','89/B3','1987','1991','1403641587','1568054410','1'
'248','79','1 generation (B2)','1984','1986','1403641587','1579168974','1'
'249','83','B8 [restyling]','2011','2015','1403641628','1461877097','1'
'250','83','4 generation (B8)','2009','2011','1403641628','1579170443','1'
'251','87','4G/C7','2010','2014','1403641651','1579481014','1'
'252','87','4F/C6','2004','2008','1403641651','1579481018','1'
'254','87','4B/C5','1997','2001','1403641651','1579481022','1'
'255','87','4B/C5 [restyling]','2001','2004','1403641651','1579481020','1'
'256','91','89/8B','1988','1996','1403641666','1568054418','1'
'257','91','1 generation (B2)','1980','1984','1403641666','1579172240','1'
'258','94','8R [restyling]','2012','2017','1403641700','1568054419','1'
'259','94','8R','2008','2012','1403641700','1579481039','1'
'261','108','B8/8K','2009','2011','1403641763','1579481070','1'
'262','108','B8/8K [restyling]','2011','2015','1403641763','1568054423','1'
'263','108','B7/8E','2005','2008','1403641763','1568054424','1'
'264','108','B6/8H','2003','2004','1403641763','1579481072','1'
'265','108','4A/C4','1991','1994','1403641763','1568054424','1'
'267','129','2 generation','2006','2011','1403641889','1568054428','1'
'268','129','1 generation','1995','2003','1403641889','1568054428','1'
'269','136','2 generation','2010','2016','1403641938','1568054431','1'
'270','136','1 generation','1984','1992','1403641938','1568054431','1'
'277','2254','T21 [restyling]','2015','2020','1403643636','1629662835','1'
'278','256','T11','2005','2014','1403643636','1568054465','1'
'280','261','2 generation','2007','2013','1403643673','1568054466','1'
'281','261','1 generation','2001','2006','1403643673','1568054466','1'
'282','262','T300','2011','2020','1403643677','1639987997','1'
'283','262','T250 [restyling]','2006','2012','1403643677','1579481428','1'
'284','262','T200','2003','2008','1403643677','1579481429','1'
'285','264','2 generation','1994','1998','1403643686','1639988013','1'
'286','264','1 generation','1982','1990','1403643686','1639988013','1'
'287','265','3 generation','1992','2001','1403643689','1461877161','1'
'288','265','2 generation','1973','1991','1403643689','1461877161','1'
'289','267','5 generation [restyling]','2013','2015','1403643698','1568054468','1'
'290','267','5 generation','2008','2014','1403643698','1568054468','1'
'291','267','4 generation','1992','1997','1403643698','1568054468','1'
'292','267','3 generation','1982','1982','1403643698','1639988034','1'
'293','268','6 generation','2006','2020','1403643701','1639988054','1'
'294','268','5 generation','1999','2003','1403643701','1568054470','1'
'295','268','4 generation','1990','1996','1403643701','1568054471','1'
'296','268','3 generation','1976','1979','1403643701','1568054471','1'
'297','269','1 generation [2th restyling]','2013','2015','1403643725','1568054473','1'
'298','269','1 generation [restyling]','2011','2013','1403643725','1568054473','1'
'299','269','1 generation','2006','2011','1403643725','1568054474','1'
'300','270','3 generation','1994','1999','1403643728','1568054474','1'
'301','270','2 generation','1987','1990','1403643728','1568054474','1'
'302','270','1 generation [restyling]','1983','1987','1403643728','1568054475','1'
'303','276','2 generation','2011','2020','1403643754','1639988163','1'
'304','276','1 generation [restyling]','2008','2010','1403643754','1568054476','1'
'307','280','C7','2013','2020','1403643789','1639988185','1'
'308','280','C6','2004','2008','1403643789','1568054478','1'
'310','280','C5','1997','2004','1403643789','1568054478','1'
'311','282','J300 [restyling]','2012','2015','1403643798','1568054480','1'
'312','282','J300','2009','2012','1403643798','1568054481','1'
'313','284','2 generation','2010','2015','1403643806','1568054481','1'
'314','284','1 generation','2004','2009','1403643806','1568054481','1'
'315','286','2 generation','2002','2021','1403643814','1461884826','1'
'316','286','1 generation','1996','2002','1403643814','1568054481','1'
'317','288','9 generation','2006','2013','1403643822','1568054482','1'
'318','288','8 generation','1999','2006','1403643822','1568054482','1'
'319','288','7 generation','1994','1996','1403643822','1568054482','1'
'322','295','2 generation [restyling]','2000','2003','1403643869','1568054488','1'
'323','295','2 generation','1997','1999','1403643869','1568054488','1'
'324','295','1 generation [2th restyling]','1980',NULL,'1403643869','1568054488','1'
'325','295','3 generation','2004','2006','1403643869','1568054488','1'
'326','295','5 generation','2011','2013','1403643869','1568054488','1'
'327','295','4 generation','2008','2012','1403643869','1568054488','1'
'329','297','6 generation','1999','2005','1403643875','1568054489','1'
'330','297','5 generation','1995','1999','1403643875','1568054489','1'
'331','300','1 generation [restyling]','2009','2020','1403643910','1639988345','1'
'332','300','1 generation','2002','2009','1403643910','1568054491','1'
'334','302','B','1998','2001','1403643916','1568054491','1'
'335','302','A','1992','1998','1403643916','1568054491','1'
'338','309','M300','2010','2015','1403643964','1577311246','1'
'340','312','7 generation [restyling]','1971','1972','1403643977','1568054494','1'
'341','312','GMT900','2007','2014','1403643977','1576958816','1'
'342','312','GMT800','2000','2005','1403643977','1568054493','1'
'343','312','GMT400','1991','1999','1403643977','1568054493','1'
'344','312','8 generation','1973','1980','1403643977','1568054494','1'
