'id_car_serie','id_car_model','id_car_generation','name','date_create','date_update','id_car_type'
'457','350','7840','Crossover','1399138514','1586393837','1'
'458','351','7841','Sedan','1399138516','1568054502','1'
'461','353','7842','Hatchback','1399138520','1568054502','1'
'464','356','7151','Crossover','1399139415','1568054503','1'
'465','357','7152','SUV 5-doors','1399139417','1461877213','1'
'471','361','7847','Fastback','1399139422','1568054505','1'
'477','365','7850','Hatchback','1399139427','1568054506','1'
'478','366','7851','Hatchback','1399139710','1568054506','1'
'479','367','7852','Hatchback 5-doors','1399139713','1461884968','1'
'480','368','7853','Minivan','1399139715','1568054506','1'
'486','372','7856','Hatchback 5-doors','1399139722','1461884971','1'
'494','376','7858','Minivan','1399140313','1568054521','1'
'498','378','7860','Moroder Coupe','1399140317','1568054522','1'
'505','382','7863','Coupe','1399140323','1461885011','1'
'506','383','7864','Compactvan','1399140325','1555412782','1'
'508','385','7865','Compactvan Stepway','1399140328','1461885013','1'
'511','387','7866','Hatchback','1399141253','1586460721','1'
'513','389','7867','Sedan','1399141257','1568054523','1'
'515','391','7868','SUV','1399141261','1568054523','1'
'534','404','7156','Sedan','1399142733','1568054525','1'
'535','405','7878','Sedan','1399142735','1568054525','1'
'536','406','7879','Sedan','1399143306','1568054525','1'
'538','408','7880','SUV','1399143310','1568054526','1'
'542','411','7881','Sedan','1399143315','1568054529','1'
'545','413','7883','Minivan','1399143318','1568054530','1'
'546','414','7884','Minivan','1399143320','1568054530','1'
'547','415','7885','Hatchback','1399143321','1568054530','1'
'548','416','7886','Sedan','1399145110','1568054530','1'
'559','423','7159','Crossover','1399145121','1568054531','1'
'560','424','7888','Hatchback','1399145123','1568054531','1'
'561','425','7889','Hatchback 5-doors','1399145124','1461885078','1'
'582','432','7892','Hatchback','1399146016','1568054532','1'
'585','434','7161','Minivan','1399146019','1568054532','1'
'588','436','7895','Hatchback','1399146907','1568054533','1'
'589','437','6922','Hatchback','1399146909','1568054533','1'
'594','441','7897','Hatchback','1399146914','1568054534','1'
'598','443','6947','Compactvan','1399146917','1461885130','1'
'602','446','7901','Hatchback','1399147804','1568054534','1'
'603','447','7902','Hatchback','1399147806','1568054534','1'
'604','448','7903','SUV 3-doors','1399147807','1461885134','1'
'618','461','7911','Coupe','1399149015','1461885141','1'
'619','462','9293','SUV','1399149016','1568054535','1'
'620','463','7912','Coupe','1399149017','1461885141','1'
'621','464','7913','Pickup One-and-a-half cabin','1399149018','1461885183','1'
'647','472','124181','Sedan 2-doors','1399149612','1461885189','1'
'648','473','7169','Cabriolet','1399149614','1568054535','1'
'651','475','7171','Coupe','1399149615','1568054536','1'
'652','476','7172','Coupe','1399150203','1461877265','1'
'653','477','7173','Coupe','1399150204','1461877265','1'
'657','481','7921','SUV','1399150208','1568054536','1'
'658','482','7175','SUV','1399150209','1568054536','1'
'659','483','7922','Pickup','1399150210','1568054536','1'
'660','484','7923','SUV','1399150211','1568054536','1'
'661','485','7924','SUV','1399150212','1568054536','1'
'671','494','7929','Sedan','1399151424','1461885242','1'
'672','495','7930','Hatchback','1399151427','1568054539','1'
'674','497','7931','Sedan','1399151706','1461885245','1'
'677','500','7932','Crossover','1399151709','1586460938','1'
'678','501','7933','wagon 5-doors','1399151710','1461885247','1'
'679','502','7935','Sedan','1399151712','1568054540','1'
'681','504','7936','SUV','1399151713','1568054540','1'
'682','505','7937','Hatchback 5-doors','1399151714','1461885250','1'
'686','508','7939','Cabriolet','1399152317','1568054541','1'
'687','509','7940','Sedan','1399152319','1568054541','1'
'704','521','7177','Hatchback 5-doors','1399152912','1461877267','1'
'705','522','7949','Sedan','1399152913','1568054542','1'
'710','524','7951','Coupe','1399152915','1568054543','1'
'711','525','7952','Sedan','1399152916','1568054543','1'
'717','531','7180','Sedan','1399153211','1568054543','1'
'718','532','9305','Sedan','1399153212','1568054543','1'
'719','533','7181','Hatchback','1399153213','1568054543','1'
'721','535','7953','Hatchback','1399153215','1568054543','1'
'724','537','7955','Hatchback','1399153823','1568054544','1'
'725','538','7956','Sedan','1399153824','1568054544','1'
'737','544','7960','Coupe','1399153830','1461885313','1'
'738','545','7961','Coupe','1399153831','1461885313','1'
'742','548','7185','Coupe','1399154711','1461879065','1'
'743','549','7186','Coupe','1399154712','1461879066','1'
'751','554','7189','Coupe','1399154716','1568054580','1'
'752','555','7964','T cabriolet 2-doors','1399154718','1568054581','1'
'753','556','7966','Coupe','1399155604','1568054581','1'
'754','557','7967','Coupe','1399155607','1568054581','1'
'758','559','7969','Coupe','1399155610','1568054581','1'
'763','562','7972','Coupe','1399155613','1568054581','1'
'764','563','7973','Coupe','1399155614','1568054581','1'
'767','565','7975','Coupe','1399155616','1568054582','1'
'772','567','7977','Hatchback','1399155905','1568054582','1'
'782','572','7982','Sedan','1399155909','1461885373','1'
'783','573','7983','Minivan','1399155911','1461885374','1'
'786','575','7984','Minivan','1399155913','1568054582','1'
'787','576','7985','Hatchback','1399156207','1568054582','1'
'788','577','7986','Minivan','1399156208','1461885378','1'
'789','578','7987','Sedan','1399156210','1461885379','1'
'803','591','7996','Sedan','1399157115','1568054584','1'
'813','597','7998','Compactvan','1399157719','1461885430','1'
'817','600','8000','Hatchback','1399157722','1568054585','1'
'818','601','8001','Hatchback 3-doors','1399157724','1461885433','1'
'819','602','8003','Sedan','1399157725','1568054585','1'
'823','604','8005','Pickup Single cabin','1399157727','1461885435','1'
'832','610','8007','Sedan','1399158310','1461885440','1'
'833','611','8008','Minivan','1399158311','1568054586','1'
'834','612','8009','Hatchback','1399158312','1568054586','1'
'842','618','6978','Sedan','1399159507','1568054587','1'
'843','619','8011','Coupe','1399159508','1568054587','1'
'846','622','8013','Crossover','1399159512','1586461116','1'
'847','623','6608','Edge','1399159513','1429398379','1'
'856','628','8018','SUV','1399159805','1568054591','1'
'862','632','8021','Sedan','1399159809','1461885500','1'
'867','635','7195','Sedan','1399159812','1568054595','1'
'872','638','8022','Minivan','1399160407','1461885509','1'
'873','639','8023','Crossover','1399160408','1586461273','1'
'875','641','8024','Hatchback 5-doors','1399160412','1568054598','1'
'880','645','8026','Coupe','1399160416','1568054599','1'
'881','646','8027','Compactvan','1399161304','1461885515','1'
'885','650','7196','Sedan','1399161308','1461879077','1'
'891','656','8035','Coupe','1399162503','1568054603','1'
'906','665','7198','Crossover','1399162512','1568054605','1'
'911','669','8042','Minivan','1399162806','1568054606','1'
'912','670','8043','Compactvan','1399162807','1461885570','1'
'916','673','8045','Hatchback 3-doors','1399162810','1461885571','1'
'917','674','8046','Hatchback 3-doors','1399162811','1461885572','1'
'918','675','8047','Sedan','1399162812','1461885572','1'
'920','677','7201','SUV','1399163403','1568054607','1'
'921','678','7202','Coupe','1399163404','1568054607','1'
'925','681','7205','Sedan','1399163407','1461879086','1'
'926','682','7206','SUV 5-doors','1399163408','1461879087','1'
'928','684','8049','Hatchback 5-doors','1399163410','1461885606','1'
'940','692','8053','Sedan','1399164614','1568054608','1'
